sheet,cell,row,col,formula_a1,formula_r1c1,value_if_any
RESUMEN,H25,25,8,"=IF((IFERROR(D25/E25,0))=0,0,(IFERROR(D25/E25,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D25/E25,0))=0,0,(IFERROR(D25/E25,0)-1))"
RESUMEN,D26,26,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B26,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B26,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E26,26,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B26,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B26,'PPvsREal Summary'!$AC:$AC)"
RESUMEN,G26,26,7,"=IF((IFERROR(D26/F26,0))=0,0,(IFERROR(D26/F26,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D26/F26,0))=0,0,(IFERROR(D26/F26,0)-1))"
RESUMEN,H26,26,8,"=IF((IFERROR(D26/E26,0))=0,0,(IFERROR(D26/E26,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D26/E26,0))=0,0,(IFERROR(D26/E26,0)-1))"
RESUMEN,D27,27,4,=D28+D29,=R[1]C+R[2]C,=D28+D29
RESUMEN,E27,27,5,=E28+E29,=R[1]C+R[2]C,=E28+E29
RESUMEN,F27,27,6,=F28+F29,=R[1]C+R[2]C,=F28+F29
RESUMEN,G27,27,7,"=IF((IFERROR(D27/F27,0))=0,0,(IFERROR(D27/F27,0)-1))","=IF((IFERROR(RC[-3]/RC[-1],0))=0,0,(IFERROR(RC[-3]/RC[-1],0)-1))","=IF((IFERROR(D27/F27,0))=0,0,(IFERROR(D27/F27,0)-1))"
RESUMEN,H27,27,8,"=IF((IFERROR(D27/E27,0))=0,0,(IFERROR(D27/E27,0)-1))","=IF((IFERROR(RC[-4]/RC[-3],0))=0,0,(IFERROR(RC[-4]/RC[-3],0)-1))","=IF((IFERROR(D27/E27,0))=0,0,(IFERROR(D27/E27,0)-1))"
RESUMEN,D28,28,4,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B28,'PPvsREal Summary'!$AD:$AD)","=SUMIF('PPvsREalSummary'!$C:RC[-2],'PPvsREalSummary'!$AD:$AD)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B28,'PPvsREal Summary'!$AD:$AD)"
RESUMEN,E28,28,5,"=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B28,'PPvsREal Summary'!$AC:$AC)","=SUMIF('PPvsREalSummary'!$C:RC[-3],'PPvsREalSummary'!$AC:$AC)","=SUMIF('PPvsREal Summary'!$C:$C,RESUMEN!B28,'PPvsREal Summary'!$AC:$AC)"
